Projects,Priority,Type,Status,Sprint,Started,Finished,Inactivity (h),Notes,Duration,Inactivity time,Active time,Created,Start date,End date,Epic,Engineers,Product Manager,Timeline,Tasks,URL
Upload the file to S3 every 10 minutes,Medium,"Improvement 🚀, Task 🔨",Revision,Sprint 03,"August 24, 2022 20:30","August 24, 2022 20:50",0,Do this if a chat has clients for this amount of time,1200,0,1200,"July 21, 2022 12:04 AM",24/08/2022,24/08/2022,,,,,,
Store messages in a file with history,High,Task 🔨,Complete,Sprint 02,"July 21, 2022 22:00","July 21, 2022 23:30",0.4,,5400,1440,3960,"July 21, 2022 12:03 AM",21/07/2022,21/07/2022,,,,,,
Send messages from front to back,High,Task 🔨,Complete,Sprint 02,"July 21, 2022 19:55","July 21, 2022 21:18",1,"1 hour interrupted, I was updating the security routes in a separate class.",4980,3600,1380,"July 21, 2022 12:03 AM",21/07/2022,21/07/2022,,,,,,
Read messages in backend,High,Task 🔨,Complete,Sprint 02,"July 21, 2022 21:20","July 21, 2022 21:30",0,,600,0,600,"July 21, 2022 12:03 AM",21/07/2022,21/07/2022,,,,,,
More style to chat and messages,Medium,Task 🔨,Complete,Sprint 02,"July 20, 2022 17:55","July 20, 2022 23:55",2,Messages are broken in several lines if long,21600,7200,14400,"July 20, 2022 5:53 PM",20/07/2022,20/07/2022,,,,,,
Basic chat page,High,Task 🔨,Complete,Sprint 02,"July 19, 2022 17:00","July 19, 2022 23:50",1.5,,24600,5400,19200,"July 19, 2022 4:55 PM",19/07/2022,19/07/2022,,,,,,
"Add custom Drop Down, password reset and more info in profile",High,Task 🔨,Complete,Sprint 02,"July 16, 2022 22:04","July 17, 2022 0:05",0,,7260,0,7260,"July 16, 2022 10:03 PM",16/07/2022,17/07/2022,,,,,,
"Enter the app as anonymous user and after the session is closed, all the data, messages, etc. is deleted",Very low,Idea 🧠,Cancelled,,,,,,,0,0,"July 5, 2022 9:55 AM",,,,,,,,
Make a Router class to configure HTTP methods and permissions,Low,Task 🔨,Cancelled,Sprint 01,"June 27, 2022 11:26","June 27, 2022 11:29",0,,180,0,180,"June 27, 2022 11:26 AM",27/06/2022,27/06/2022,,,,,,
Change color themes to fit logo,Low,Improvement 🚀,Not Started,,,,,,,0,0,"June 26, 2022 12:02 AM",,,,,,,,
Show all opened sessions of user in profile view,Medium,Task 🔨,Complete,Sprint 01,"June 26, 2022 0:50","June 26, 2022 1:15",0,,1500,0,1500,"June 25, 2022 11:53 PM",26/06/2022,26/06/2022,,,,,,
"Profile page with user data (session, name, …)",High,Task 🔨,Complete,Sprint 01,"June 26, 2022 23:30","July 17, 2022 0:04",-1,,1730040,0,1730040,"June 25, 2022 11:50 PM",26/06/2022,17/07/2022,,,,,,
Home page with chat selection,Medium,Task 🔨,Reference,,,,,,,0,0,"June 25, 2022 11:49 PM",,,,,,,,
Improve request handling in filters. Put data in some attribute in the custom class instead of request.setAttribute(),High,"Refactor 🛠️, Task 🔨",Complete,Sprint 01,"June 25, 2022 15:00","June 25, 2022 15:20",0,,1200,0,1200,"June 25, 2022 3:08 PM",25/06/2022,25/06/2022,,,,,,
Frontend API url change when code is in production or in development env,High,"Bug 🐞, Refactor 🛠️",Complete,Sprint 01,"June 25, 2022 0:30","June 25, 2022 0:50",0,,1200,0,1200,"June 25, 2022 12:54 AM",25/06/2022,25/06/2022,,,,,,
App renaming,High,Refactor 🛠️,Complete,Sprint 01,"June 24, 2022 23:54","June 25, 2022 0:15",0,,1260,0,1260,"June 24, 2022 11:54 PM",24/06/2022,25/06/2022,,,,,,
Solve problem with Instant class of the domain models,High,"Bug 🐞, Refactor 🛠️",Complete,Sprint 01,"June 24, 2022 22:45","June 24, 2022 23:15",0.25,ObjectMapper must have JavaTimeModule registered,1800,900,900,"June 24, 2022 10:10 PM",24/06/2022,24/06/2022,,,,,,
Refactor Responses with the new class,Medium,"Refactor 🛠️, Task 🔨",Complete,Sprint 01,"June 24, 2022 22:00","June 24, 2022 22:33",0,,1980,0,1980,"June 24, 2022 7:07 PM",24/06/2022,24/06/2022,,,,,,
Improve custom HttpRequest functionality,High,Task 🔨,Complete,Sprint 01,"June 24, 2022 0:05","June 24, 2022 1:04",0,Little modification was done,3540,0,3540,"June 24, 2022 12:04 AM",24/06/2022,24/06/2022,,,,,,
Improve custom HttpResponse functionality,High,Task 🔨,Complete,Sprint 01,"June 23, 2022 22:40","June 24, 2022 3:08",0,,16080,0,16080,"June 23, 2022 10:40 PM",23/06/2022,24/06/2022,,,,,,
Migration of frontend to other repo,Critical 🔥,"Bug 🐞, Refactor 🛠️, Task 🔨",Complete,Sprint 01,"June 23, 2022 0:37","June 23, 2022 1:35",0,,3480,0,3480,"June 23, 2022 12:42 AM",23/06/2022,23/06/2022,,,,,,
Better configuration of deployment CORS config,Critical 🔥,Task 🔨,Complete,Sprint 01,"June 22, 2022 20:30","June 23, 2022 1:35",1.5,,18300,5400,12900,"June 22, 2022 8:32 PM",22/06/2022,23/06/2022,,,,,,
Configure deploy functionality,Critical 🔥,"Initialization 🎉, Task 🔨",Complete,Sprint 01,"June 21, 2022 13:00","June 22, 2022 1:46",3,,45960,10800,35160,"June 21, 2022 6:57 PM",21/06/2022,22/06/2022,,,,,,
Backend register functionality,Critical 🔥,Task 🔨,Complete,Sprint 01,"June 20, 2022 21:15","June 24, 2022 22:05",26,,348600,93600,255000,"June 20, 2022 9:54 PM",20/06/2022,24/06/2022,,,,,,
Toolbar with theme switcher,Critical 🔥,Task 🔨,Complete,Sprint 01,"June 20, 2022 20:55","June 20, 2022 21:03",0,,480,0,480,"June 20, 2022 8:55 PM",20/06/2022,20/06/2022,,,,,,
"Store, Reducers and Actions for Redux",High,Task 🔨,Complete,Sprint 01,"June 20, 2022 20:41","June 20, 2022 20:50",0,,540,0,540,"June 20, 2022 8:41 PM",20/06/2022,20/06/2022,,,,,,
Theme switcher and color palette,Low,Task 🔨,Complete,Sprint 01,"June 20, 2022 20:36","June 20, 2022 21:03",0,,1620,0,1620,"June 20, 2022 8:36 PM",20/06/2022,20/06/2022,,,,,,
Register page and switch between Login and Register,High,Task 🔨,Complete,Sprint 01,"June 20, 2022 20:26","June 20, 2022 20:45",0,,1140,0,1140,"June 20, 2022 8:25 PM",20/06/2022,20/06/2022,,,,,,
Forgot password functionality,Medium,Task 🔨,Reference,,,,,,,0,0,"June 20, 2022 8:25 PM",,,,,,,,
Documentation - All diagrams,High,"Documentation 📘, Initialization 🎉",Not Started,,,,,,,0,0,"June 17, 2022 3:55 PM",,,,,,,,
Migration from Timestamp to LocalDateTime,Medium,Refactor 🛠️,Cancelled,Sprint 01,"June 17, 2022 15:45","June 17, 2022 15:50",0,Made with IntelliJ UI JPA Inspector. Returned to Timestamp because Jackson cannot make correct bindings for that type,300,0,300,"June 17, 2022 3:54 PM",17/06/2022,17/06/2022,,,,,,
Remove Service’s interfaces,High,Refactor 🛠️,Complete,Sprint 01,"June 17, 2022 14:00","June 17, 2022 14:17",0,,1020,0,1020,"June 17, 2022 2:16 PM",17/06/2022,17/06/2022,,,,,,
Fix CORS security,Critical 🔥,"Bug 🐞, Task 🔨",Complete,Sprint 01,"June 15, 2022 17:50","June 15, 2022 18:56",0,Improved using WebMvcConfigurer in main class with a Bean. This configures CORS globally,3960,0,3960,"June 15, 2022 6:41 PM",15/06/2022,15/06/2022,,,,,,
"When receiving a request, check if the token exists in DB",High,Task 🔨,Not Started,Sprint 01,"June 16, 2022 18:00",,,,,0,0,"June 15, 2022 2:36 PM",16/06/2022,,,,,,,
Fix login controller does not work after AuthenticationFilter,Critical 🔥,"Bug 🐞, Configuration ⚙️",Complete,Sprint 01,"June 15, 2022 13:00","June 15, 2022 14:10",0,Problem with the LogoutFilter. Removed,4200,0,4200,"June 15, 2022 2:58 AM",15/06/2022,15/06/2022,,,,,,
Improve Logout functionality with a Filter an then call the controller,High,Task 🔨,Cancelled,Sprint 01,"June 15, 2022 2:00","June 15, 2022 18:40",7,,60000,25200,34800,"June 15, 2022 2:11 AM",15/06/2022,15/06/2022,,,,,,
Solve problem with user creation by admins,Critical 🔥,"Bug 🐞, Task 🔨",Complete,Sprint 01,"June 15, 2022 0:29","June 15, 2022 1:08",0,I’m a bit idiot,2340,0,2340,"June 15, 2022 12:29 AM",15/06/2022,15/06/2022,,,,,,
Ability to close all sessions of the user,Medium,Task 🔨,Not Started,,,,,,,0,0,"June 14, 2022 9:58 PM",,,,,,,,
Update DB to include refreshToken,High,"Configuration ⚙️, Task 🔨",Complete,Sprint 01,"June 14, 2022 21:43","June 14, 2022 21:48",0,,300,0,300,"June 14, 2022 9:43 PM",14/06/2022,14/06/2022,,,,,,
SessionService update when refreshToken is used,Medium,Task 🔨,Not Started,,,,,,,0,0,"June 14, 2022 9:36 PM",,,,,,,,
"Implement SessionService with capability to save, delete",High,Task 🔨,Complete,Sprint 01,"June 14, 2022 21:37","June 14, 2022 22:00",0,,1380,0,1380,"June 14, 2022 9:36 PM",14/06/2022,14/06/2022,,,,,,
Improve Filters with annotations,Medium,Refactor 🛠️,Cancelled,Sprint 01,"June 15, 2022 0:18","June 15, 2022 0:27",0,,540,0,540,"June 14, 2022 9:34 PM",15/06/2022,15/06/2022,,,,,,
Backend routes with constants,Medium,"Configuration ⚙️, Task 🔨",Complete,Sprint 01,"June 14, 2022 13:16","June 14, 2022 14:12",0,,3360,0,3360,"June 14, 2022 8:43 PM",14/06/2022,14/06/2022,,,,,,
Be able to manage request in controller after passing a Filter,Critical 🔥,Configuration ⚙️,Complete,Sprint 01,"June 14, 2022 17:30","June 14, 2022 20:40",1,,11400,3600,7800,"June 14, 2022 8:39 PM",14/06/2022,14/06/2022,,,,,,
Document - Design model,High,"Documentation 📘, Initialization 🎉",Complete,Sprint 02,"August 9, 2022 19:50","August 9, 2022 20:15",0,,1500,0,1500,"June 14, 2022 3:01 AM",09/08/2022,09/08/2022,,,,,,
Document - Requirements specification,High,"Documentation 📘, Initialization 🎉",Complete,Sprint 01,"June 20, 2022 14:00","June 20, 2022 20:23",2,,22980,7200,15780,"June 14, 2022 2:57 AM",20/06/2022,20/06/2022,,,,,,
Document - Use cases,High,"Documentation 📘, Initialization 🎉",Not Started,,,,,,,0,0,"June 14, 2022 2:56 AM",,,,,,,,
Backend login with JWT tokens,High,Task 🔨,Complete,Sprint 01,"June 13, 2022 19:00","June 14, 2022 2:30",2,,27000,7200,19800,"June 13, 2022 10:02 PM",13/06/2022,14/06/2022,,,,,,
From Cayenne to JPA,High,"Configuration ⚙️, Task 🔨",Complete,Sprint 01,"June 13, 2022 13:53","June 13, 2022 18:00",3,,14820,10800,4020,"June 13, 2022 1:53 PM",13/06/2022,13/06/2022,,,,,,
Configure Spring security with basic requests,Critical 🔥,"Configuration ⚙️, Task 🔨",Complete,Sprint 01,"June 13, 2022 23:15","June 15, 2022 1:55",9,,96000,32400,63600,"June 13, 2022 1:34 PM",13/06/2022,15/06/2022,,,,,,
Translate Relational diagram to SQL,High,Initialization 🎉,Complete,Sprint 01,"June 12, 2022 23:40","June 13, 2022 0:20",0,,2400,0,2400,"June 12, 2022 2:31 AM",12/06/2022,13/06/2022,,,,,,
Probar el módulo de traducción en Frontend,Very low,Idea 🧠,Not Started,,,,,,,0,0,"June 12, 2022 1:52 AM",,,,,,,,
Create Relational diagram,High,"Documentation 📘, Initialization 🎉",Complete,Sprint 01,"June 11, 2022 22:18","June 12, 2022 2:30",3,,15120,10800,4320,"June 11, 2022 3:24 PM",11/06/2022,12/06/2022,,,,,,
Create the model classes with Cayenne Modeler,Medium,Initialization 🎉,Cancelled,Sprint 01,"June 13, 2022 0:20","June 13, 2022 0:45",0,Migration to JPA,1500,0,1500,"June 11, 2022 2:15 AM",13/06/2022,13/06/2022,,,,,,
Create ER diagram,High,"Documentation 📘, Initialization 🎉",Complete,Sprint 01,"June 11, 2022 13:15","June 11, 2022 22:15",3,,32400,10800,21600,"June 11, 2022 2:14 AM",11/06/2022,11/06/2022,,,,,,
Sistema de menciones,Very low,"Idea 🧠, Research ⛰️",Not Started,,,,,,,0,0,"June 10, 2022 4:41 AM",,,,,,,,
How To Build React with Java Backend For Production | by Bhargav Bachina | Bachina Labs | Medium,Very low,"Idea 🧠, Research ⛰️",Complete,,,,,,,0,0,"June 10, 2022 3:14 AM",,,,,,,,https://medium.com/bb-tutorials-and-thoughts/how-to-build-react-with-java-backend-for-production-72f8634bb067
How To Develop and Build React App With Java Backend | by Bhargav Bachina | Bachina Labs | Medium,Very low,"Idea 🧠, Research ⛰️",Complete,,,,,,,0,0,"June 10, 2022 3:13 AM",,,,,,,,https://medium.com/bb-tutorials-and-thoughts/how-to-develop-and-build-react-app-with-java-backend-c1e6c5c93ae
