Projects,Priority,Type,Status,Sprint,Started,Finished,Inactivity (h),Notes,Duration,Inactivity time,Active time,Created,Start date,End date,Epic,Engineers,Product Manager,Timeline,Tasks,URL
Make administrator view in frontend,Medium,"Improvement 🚀, Task 🔨",Complete,Sprint 02,"August 6, 2022 12:30","September 13, 2022 13:42",-1,Implementation of services,3287520,0,3287520,"August 6, 2022 11:48 AM",06/08/2022,13/09/2022,,,,,,
Create updated entities in JPA,High,Task 🔨,Complete,Sprint 02,"August 5, 2022 22:15","August 6, 2022 23:26",12,"Check if the entities can contain only the reference object, not the id and the object (see Session last 2 attributes).
Update: entities only have the id (if an object of other entity is required)",90660,43200,47460,"August 5, 2022 11:52 PM",05/08/2022,06/08/2022,,,,,,
Check migration guide java-jwt to version 4,Low,Security 🔒,Complete,Sprint 03,"August 12, 2022 20:43","August 12, 2022 23:56",2.5,,11580,9000,2580,"August 5, 2022 8:57 PM",12/08/2022,12/08/2022,,,,,,
Move ChatMap functionality to Chat class,Low,"Refactor 🛠️, Task 🔨",Not Started,,,,,,,0,0,"August 5, 2022 8:40 PM",,,,,,,,
Restrict the connection to chats. Users can only connect to available ones,Critical 🔥,"Refactor 🛠️, Task 🔨",Complete,Sprint 03,"September 8, 2022 17:23","September 8, 2022 19:59",0.5,"See also When entering a chat, send a http request to check if the user has access to that chat (https://www.notion.so/When-entering-a-chat-send-a-http-request-to-check-if-the-user-has-access-to-that-chat-73bb78c5b4594cd494c5254b398df53c?pvs=21) ",9360,1800,7560,"August 5, 2022 12:50 AM",08/09/2022,08/09/2022,,,,,,
New messages when user joins and leaves a chat,High,"Refactor 🛠️, Task 🔨",Cancelled,Sprint 02,"August 3, 2022 20:15","August 4, 2022 22:30",,Decided to rollback to the working implementation (create a socket per chat connection),94500,0,94500,"August 3, 2022 8:35 PM",03/08/2022,04/08/2022,,,,,,
Use a context in private routes to encapsulate a single WebSocket for all the session,High,"Improvement 🚀, Task 🔨",Cancelled,,,"August 4, 2022 22:30",,,,0,0,"August 3, 2022 6:49 PM",,04/08/2022,,,,,,
Upload images from frontend with drag ’n’ drop and encode into base64,High,Task 🔨,Reference,,,,,,,0,0,"August 3, 2022 12:20 AM",,,,,,,,
Add random generated string at the end of media files,Medium,"Improvement 🚀, Task 🔨",Not Started,,,,,,,0,0,"August 1, 2022 11:54 PM",,,,,,,,
"Add support for all types of files (text, images, videos, audios)",Medium,Task 🔨,Complete,Sprint 02,"August 1, 2022 23:18","August 3, 2022 0:05",18,"Added a builder for comfort, generalized filetype query to S3",89220,64800,24420,"August 1, 2022 11:18 PM",01/08/2022,03/08/2022,,,,,,
